Count of reduce node = 1, time  = 6,70 seconds. 
Count of reduce node = 2, time  = 5,19 seconds. 
Count of reduce node = 3, time  = 6,14 seconds. 
Count of reduce node = 4, time  = 5,16 seconds. 
Count of reduce node = 5, time  = 6,14 seconds. 
Count of reduce node = 6, time  = 6,14 seconds. 
Count of reduce node = 7, time  = 6,16 seconds. 
Count of reduce node = 8, time  = 6,14 seconds. 
Count of reduce node = 9, time  = 6,16 seconds. 
Count of reduce node = 10, time  = 7,13 seconds. 
Count of reduce node = 11, time  = 7,14 seconds. 
Count of reduce node = 12, time  = 7,15 seconds. 
Count of reduce node = 13, time  = 8,19 seconds. 
Count of reduce node = 14, time  = 11,22 seconds. 
Count of reduce node = 15, time  = 11,32 seconds. 
Count of reduce node = 16, time  = 12,27 seconds. 
Count of reduce node = 17, time  = 12,39 seconds. 
Count of reduce node = 18, time  = 12,31 seconds. 
Count of reduce node = 19, time  = 13,40 seconds. 
Count of reduce node = 20, time  = 13,45 seconds. 
