Count of reduce node = 1, time  = 2,10 seconds. 
Count of reduce node = 2, time  = 2,09 seconds. 
Count of reduce node = 3, time  = 2,10 seconds. 
Count of reduce node = 4, time  = 2,13 seconds. 
Count of reduce node = 5, time  = 2,11 seconds. 
Count of reduce node = 6, time  = 3,11 seconds. 
Count of reduce node = 7, time  = 2,11 seconds. 
Count of reduce node = 8, time  = 3,11 seconds. 
Count of reduce node = 9, time  = 4,12 seconds. 
Count of reduce node = 10, time  = 3,14 seconds. 
Count of reduce node = 11, time  = 3,09 seconds. 
Count of reduce node = 12, time  = 4,27 seconds. 
Count of reduce node = 13, time  = 4,12 seconds. 
Count of reduce node = 14, time  = 4,13 seconds. 
Count of reduce node = 15, time  = 4,13 seconds. 
Count of reduce node = 16, time  = 4,12 seconds. 
Count of reduce node = 17, time  = 5,16 seconds. 
Count of reduce node = 18, time  = 4,13 seconds. 
Count of reduce node = 19, time  = 5,25 seconds. 
Count of reduce node = 20, time  = 4,11 seconds. 
